sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
108	20	0.6020152983	0.1	0.08935406699	0.2869565217	0.8058345711	0.6589267045
109	20	0.7361999783	0.1	0.02784853651	0.3239130435	0.7700202493	0.7199911319
110	20	0.668679233	0.05	0.04485645933	0.2891304348	0.7998199514	0.6902927577
111	20	0.7445756082	0.1	0.07613999574	0.3304347826	0.7842204952	0.7252237511
112	20	0.6854869265	0.2	0.1303827751	0.3717391304	0.7496408426	0.6926546115
113	20	0.7529290443	0.25	0.1938995215	0.4152173913	0.6900787439	0.7296928126
114	20	0.6418612996	0.1	0.06900218895	0.3239130435	0.7916815184	0.6747517938
115	20	0.6977399026	0.2	0.1257177033	0.3347826087	0.7564550506	0.7003644002
116	20	0.7445039444	0.25	0.0773923445	0.3934782609	0.7314387166	0.7257595503
117	20	0.6611005438	0.1	0.04563760339	0.3304347826	0.7820769259	0.6810350537
118	20	0.7197191247	0.1	0.0808412271	0.3565217391	0.7803310027	0.7118107951
119	20	0.6658734947	0.15	0.08528030142	0.35	0.7597991313	0.6837602964
120	20	0.6998427588	0.2	0.09353001569	0.3826086957	0.7430379593	0.7013066417
121	20	0.6928895474	0.1	0.1046544176	0.3108695652	0.8010277803	0.6954998533
122	20	0.7302861195	0.1	0.06003622416	0.2913043478	0.8101393893	0.7186715425
123	20	0.8457173744	0.2	0.08444298084	0.4239130435	0.6826712537	0.788647948
124	20	0.7035244266	0.2	0.08767942584	0.3695652174	0.7419211406	0.7006575687
125	20	0.7208109593	0.2	0.09916267943	0.3695652174	0.7430153144	0.7082883791
126	20	0.7896819211	0.3	0.1237905908	0.4086956522	0.6863874849	0.747796228
127	20	0.6981642738	0.1	0.04096381458	0.2956521739	0.8012880721	0.7001533164
128	20	0.7336220583	0.25	0.141507177	0.4239130435	0.6820324397	0.7236532604
129	20	0.7324947501	0.15	0.119138756	0.3086956522	0.7474588564	0.7221293295
130	20	0.6798429094	0.15	0.07917498014	0.3869565217	0.7452422903	0.696265975
131	20	0.8054486378	0.3	0.198923445	0.452173913	0.6699374813	0.7631667103
132	20	0.5780680959	0.05	0.03528708134	0.2847826087	0.8148535451	0.6529815997
133	20	0.7694711678	0.3	0.1690084846	0.452173913	0.6692791929	0.7451196241
134	20	0.7017924209	0.1	0.06960027507	0.3413043478	0.7656334007	0.7019297562
135	20	0.7145159594	0.15	0.0687629545	0.3239130435	0.7946162385	0.7083424881
136	20	0.7205116261	0.25	0.165430622	0.3304347826	0.7527538884	0.7137313992
137	20	0.5876001106	0.15	0.115430622	0.3608695652	0.7435169247	0.6547716446
138	20	0.6338210306	0.1	0.0544058204	0.3586956522	0.7618209793	0.6711970467
139	20	0.7609997596	0.2	0.1330521279	0.3782608696	0.7102604275	0.7359204826
140	20	0.7694088889	0.15	0.1126678031	0.3260869565	0.7447114856	0.7355928147
141	20	0.6660298833	0.15	0.09950990837	0.3434782609	0.765965799	0.6860703088
142	20	0.724619634	0.2	0.1087761269	0.4065217391	0.7329887546	0.7123562242
143	20	0.7634519692	0.25	0.1600362242	0.3934782609	0.7252279467	0.7308295429
144	20	0.6571761174	0.15	0.09958497181	0.3043478261	0.7821990567	0.6818579338
145	20	0.7368852371	0.25	0.1602738443	0.4217391304	0.6775867859	0.724801786
146	20	0.6600286726	0.2	0.1209330144	0.3282608696	0.7804325645	0.682385738
147	20	0.7450818749	0.1	0.07015041745	0.3260869565	0.7741081766	0.7228156804
