sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
97	20	0.7166761603	0.1	0.05035885167	0.3260869565	0.788374259	0.750643355
98	20	0.7898358926	0.2	0.129771452	0.4065217391	0.7359066859	0.781076722
99	20	0.8395760202	0.1	0.09250269583	0.3369565217	0.7596908986	0.8172054496
100	20	0.8166288702	0.1	0.03359549038	0.3673913043	0.791906091	0.7952885381
101	20	0.8267918289	0.15	0.1231950875	0.3630434783	0.757655172	0.8043653116
102	20	0.7743888484	0.15	0.1119617225	0.3739130435	0.7583610707	0.7737271781
103	20	0.7952518955	0.05	0.04422398931	0.3369565217	0.8150775028	0.7860042177
104	20	0.7501251117	0.15	0.1203349282	0.3695652174	0.7532730087	0.7672263945
105	20	0.8472860293	0.2	0.0971291866	0.3739130435	0.7506457401	0.8135571593
106	20	0.8428371181	0.15	0.06899912184	0.4	0.7508113969	0.8105128211
107	20	0.7734264452	0.1	0.05227272727	0.35	0.799281636	0.7748480652
108	20	0.7457293928	0.05	0.00980861244	0.3173913043	0.811032691	0.7649640652
109	20	0.8786178611	0.1	0.0621331577	0.3304347826	0.808740266	0.8357985589
110	20	0.8117792198	0.1	0.05885167464	0.35	0.7800536243	0.7950814549
111	20	0.7611906871	0.05	0.0596328187	0.2826086957	0.8024412119	0.7694909769
112	20	0.7373921736	0.1	0.07511961722	0.3108695652	0.8230753015	0.757360898
113	20	0.8521519666	0.25	0.1557300041	0.4086956522	0.7546355741	0.8259858787
114	20	0.822003833	0.2	0.1151913876	0.3869565217	0.7584449616	0.798362027
115	20	0.6231128785	0.1	0.03755980861	0.3086956522	0.8215931199	0.7186833666
116	20	0.7219007006	0.1	0.04508891386	0.3195652174	0.814426544	0.7525170485
117	20	0.6947398246	0.1	0.05244706817	0.3304347826	0.79852508	0.7403132682
118	20	0.7509396995	0.1	0.06444721022	0.3195652174	0.8076763433	0.7652205555
119	20	0.7157249577	0.15	0.1204545455	0.3108695652	0.7883847202	0.7490181698
120	20	0.7895747576	0.1	0.04461722488	0.3282608696	0.7949669706	0.7805072232
121	20	0.79649391	0.1	0.08539991864	0.3282608696	0.8217926301	0.7873823681
122	20	0.7939568987	0.05	0.03306907774	0.2739130435	0.8194624333	0.7875916227
123	20	0.6874338541	0.05	0.03528708134	0.3	0.8256988326	0.7398142934
124	20	0.7923274102	0.25	0.146291866	0.4326086957	0.7269085295	0.7877125518
125	20	0.7355253549	0.05	0.03336255158	0.2826086957	0.8194479273	0.7577430666
126	20	0.8806112252	0.15	0.06452840788	0.3326086957	0.8064078249	0.8409359596
127	20	0.7711277769	0.15	0.04000687678	0.3304347826	0.7707694606	0.7729666789
128	20	0.8686789495	0.3	0.1290669856	0.4	0.7071447682	0.8308510924
129	20	0.7488673407	0.1	0.07284688995	0.3326086957	0.8027889099	0.7618406532
130	20	0.8206886854	0.2	0.06494053038	0.402173913	0.7613780185	0.7987294626
131	20	0.7492511148	0.1	0.0716507177	0.3130434783	0.8103864037	0.7657288935
132	20	0.7093729211	0.05	0.0438878988	0.3413043478	0.7986766111	0.7475306215
133	20	0.7745197426	0.1	0.07559808612	0.3152173913	0.8181679401	0.7770720258
134	20	0.6890349856	0.15	0.06148325359	0.3630434783	0.7435204296	0.7386233982
135	20	0.7965930015	0.2	0.1021361602	0.3630434783	0.7640467331	0.7832029537
136	20	0.6837639132	0.15	0.05251196172	0.3282608696	0.8186360521	0.7364358797
137	20	0.7923540199	0.2	0.1509569378	0.3782608696	0.7129545215	0.7848724161
138	20	0.7668301265	0.15	0.1002090476	0.35	0.7469415364	0.7728712028
139	20	0.7773564837	0.15	0.1261312787	0.3630434783	0.7446831563	0.7772182744
140	20	0.8014477905	0.05	0.04327915851	0.3304347826	0.8025767653	0.7867148141
141	20	0.838546234	0.25	0.1006528098	0.3695652174	0.7438348858	0.8088763379
142	20	0.7739489088	0.05	0.04455233133	0.3086956522	0.8087031895	0.7751817526
143	20	0.8869835937	0.2	0.08827751196	0.4282608696	0.7079544847	0.8415481392
144	20	0.7518071856	0.15	0.0778708134	0.3565217391	0.8022603151	0.7618680755
145	20	0.8064616844	0.15	0.09604100885	0.4043478261	0.7460448898	0.7927369882
146	20	0.7694339279	0.15	0.1066985646	0.3260869565	0.7808326255	0.7725672315
147	20	0.7766633073	0.1	0.06547469151	0.3173913043	0.7949797777	0.7752251872
148	20	0.8004449918	0.2	0.1389952153	0.4043478261	0.7153188118	0.7869728329
149	20	0.7866016357	0.1	0.054784689	0.3152173913	0.7830298949	0.7821516251
150	20	0.8150097303	0.05	0.02206429305	0.2695652174	0.8313796332	0.7982075447
151	20	0.7971564169	0.2	0.0485645933	0.3934782609	0.7386278453	0.7880325941
152	20	0.6874678305	0.15	0.05610047847	0.3739130435	0.777875992	0.7395808376
153	20	0.861280672	0.1	0.04394601244	0.3543478261	0.7697473308	0.8258050125
154	20	0.825813458	0.3	0.176076555	0.452173913	0.6386884259	0.8162080039
155	20	0.6952369729	0.1	0.06232057416	0.3282608696	0.8004012195	0.7419999254
156	20	0.8347445641	0.15	0.1287258909	0.3565217391	0.7537242974	0.808826409
157	20	0.7828781823	0.3	0.1214114833	0.45	0.7364131408	0.7813055176
158	20	0.8577693252	0.2	0.1077644655	0.3847826087	0.7148276827	0.8229433089
159	20	0.7495506082	0.2	0.1232057416	0.4173913043	0.7250362876	0.7652802153
160	20	0.7751929318	0.25	0.1122009569	0.3913043478	0.7526117429	0.7742494389
161	20	0.8010355481	0	0	0.247826087	0.8564927337	0.7898469202
162	20	0.8899061019	0.2	0.1006938122	0.4152173913	0.7241649976	0.8438824019
163	20	0.7693660455	0.2	0.111233365	0.3913043478	0.7654755162	0.7725950802
164	20	0.7716982154	0.2	0.1565789474	0.4043478261	0.7365007093	0.7795797557
165	20	0.7259037964	0.1	0.08652635453	0.3434782609	0.7611538213	0.7555341866
166	20	0.8372459672	0.15	0.1326448482	0.3934782609	0.748376801	0.8059765248
