sample	weight_constraint_score	weight_conservation_score	weight_novelty_score	weight_uniqueness_score	top_k_jaccard	rank_spearman
133	0.264611342468	0.220592889338	0.256551135198	0.258244632996	1	0.999392478889
134	0.258186479845	0.285547296376	0.217410849989	0.23885537379	1	0.993122861019
135	0.260558773659	0.223273136895	0.223495565161	0.292672524284	1	0.999036066503
136	0.262792617274	0.224710608414	0.24959965466	0.262897119651	1	0.99940057917
137	0.236314980828	0.270152328106	0.264009087098	0.229523603968	1	0.998501447925
138	0.280895047901	0.248114176374	0.251738145327	0.219252630398	0.904761904762	0.993074259331
139	0.23286736238	0.310404548436	0.218316393106	0.238411696078	1	0.997464611895
140	0.232413423708	0.252504518048	0.262263969323	0.252818088921	0.904761904762	0.99552864462
141	0.212470573981	0.228736530979	0.289897035092	0.268895859948	0.818181818182	0.966553937749
142	0.261247929636	0.263324206742	0.272465867284	0.202961996339	1	0.998047832162
143	0.234571482693	0.251710726465	0.231781146383	0.281936644459	1	0.997950628784
144	0.234028171898	0.260994130559	0.268854978186	0.236122719357	0.904761904762	0.996686984873
145	0.272237754967	0.242069141353	0.266691302	0.21900180168	1	0.99705149754
146	0.262101930436	0.265520737046	0.220792181348	0.25158515117	1	0.995407140398
147	0.28986321814	0.26139637751	0.216354476701	0.232385927649	0.818181818182	0.981936372289
148	0.228480144801	0.211092921624	0.305195140958	0.255231792618	0.818181818182	0.97441121079
149	0.251055108003	0.282709016979	0.218391717484	0.247844157534	1	0.996411575302
150	0.247101347998	0.24076951673	0.272585699902	0.23954343537	1	0.998258439481
151	0.22806908607	0.254206219099	0.267268522497	0.250456172334	0.904761904762	0.993333468338
152	0.276261192083	0.259367290033	0.267272874949	0.197098642935	1	0.994265000709
153	0.263245689946	0.235082586341	0.245970667044	0.255701056669	1	0.998882161155
154	0.270564292187	0.271909268539	0.208468484156	0.249057955119	0.904761904762	0.988935015492
155	0.296932998236	0.253365575116	0.229327561934	0.220373864715	0.818181818182	0.981417954274
156	0.259139583618	0.232301060691	0.278565377367	0.229993978323	1	0.999489682266
157	0.290019341837	0.234863392721	0.27207671144	0.203040554003	0.904761904762	0.99367368016
158	0.230122133738	0.252328561404	0.26337259742	0.254176707438	0.904761904762	0.994621413094
159	0.237751287244	0.276937232508	0.239120126992	0.246191353256	1	0.999481581985
160	0.242597791799	0.246039345917	0.251522108537	0.259840753746	1	0.99836374314
161	0.278856545617	0.285110755965	0.208571358251	0.227461340166	0.818181818182	0.98090763654
162	0.262211998623	0.28583675384	0.200467001169	0.251484246368	0.904761904762	0.989607338855
163	0.267624764305	0.202881906707	0.240042296264	0.289451032724	1	0.998995565096
164	0.264252293201	0.221329360287	0.282171860012	0.2322464865	1	0.999351977481
165	0.281407464198	0.226730373564	0.255467017579	0.23639514466	1	0.995860756161
166	0.241135912554	0.305980757361	0.231889216543	0.220994113542	1	0.997059597821
167	0.215533107694	0.250110796132	0.258374609693	0.275981486481	0.818181818182	0.982600595371
168	0.243878795244	0.255728829984	0.22693520708	0.273457167692	1	0.999870395496
169	0.280513567339	0.252748469662	0.242860041373	0.223877921625	0.904761904762	0.991632409226
170	0.294119280618	0.251909451965	0.215332462549	0.238638804867	0.818181818182	0.981588060185
171	0.236515370806	0.251939960359	0.230852058082	0.280692610753	1	0.998234138636
172	0.254362505873	0.226242791068	0.233685694904	0.285709008155	1	0.999651687896
173	0.262733359954	0.242578759923	0.218107973673	0.276579906449	1	0.997213503169
174	0.223531020518	0.23255644226	0.290934215703	0.252978321519	0.818181818182	0.979287580243
175	0.266609813773	0.251873779717	0.257968968741	0.22354743777	1	0.997173001762
176	0.233631515801	0.242087164731	0.224674469919	0.299606849549	0.904761904762	0.996848990502
177	0.219110339675	0.245811700483	0.267930049855	0.267147909987	0.818181818182	0.983758935623
178	0.230385434451	0.233963595325	0.282947650746	0.252703319478	0.818181818182	0.988222190721
179	0.263297339143	0.271521459065	0.260767058127	0.204414143665	1	0.996338672769
180	0.24942433956	0.204616950428	0.258258882053	0.287699827958	1	0.995374739272
181	0.252756334322	0.24473329948	0.204785921434	0.297724444764	1	0.998760656933
182	0.248708912458	0.241385598491	0.265628184154	0.244277304897	1	0.998760656933
183	0.26300881167	0.269540325615	0.247738118184	0.219712744531	1	0.995933658695
184	0.228162157817	0.257649919173	0.22264374673	0.29154417628	0.904761904762	0.996662684028
185	0.236809161613	0.247007958431	0.25688520221	0.259297677746	0.904761904762	0.996597881776
186	0.222958475742	0.235256649027	0.318874033492	0.222910841738	0.818181818182	0.97441121079
187	0.256929327242	0.255017303458	0.238995341277	0.249058028024	1	0.998404244547
188	0.272482473079	0.27842316915	0.221502387691	0.22759197008	0.904761904762	0.987217755817
189	0.232771022005	0.257411260648	0.278523775275	0.231293942072	0.904761904762	0.99530993702
190	0.238549251503	0.299922914695	0.209669702973	0.251858130829	1	0.997075798384
191	0.299699434721	0.237682484303	0.226289397847	0.236328683129	0.818181818182	0.983418723801
192	0.319077677964	0.219646721676	0.239221305322	0.222054295039	0.818181818182	0.97812113971
193	0.221202198258	0.274601862086	0.234932498544	0.269263441111	0.904761904762	0.995731151658
194	0.251530431759	0.276704878856	0.194677772757	0.277086916628	1	0.99552864462
195	0.251589408981	0.20775052126	0.266365008845	0.274295060913	1	0.996387274458
196	0.22033788618	0.285290887458	0.239905390744	0.254465835618	0.904761904762	0.996314371924
197	0.284856120936	0.225385928644	0.268489030219	0.221268920202	1	0.995731151658
198	0.279074939418	0.259286994394	0.220965398481	0.240672667707	0.904761904762	0.988141187906
199	0.264206618207	0.236900909989	0.231397797038	0.267494674766	1	0.997740021466
200	0.209926894981	0.225154250888	0.283347992613	0.281570861517	0.818181818182	0.962787306859
