sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
68	20	0.4453727367	1	0.6983606557	0.9891304348	0.2441958808	0.4516089755
69	20	0.4540433943	1	0.693852459	0.9847826087	0.2487635803	0.4545390258
70	20	0.470510973	1	0.6918032787	0.9760869565	0.2831950465	0.4627011424
71	20	0.3848736047	1	0.6995901639	0.997826087	0.2144525373	0.4239517514
72	20	0.4193049242	1	0.7192622951	0.9826086957	0.2387957728	0.4391377478
73	20	0.4472465939	1	0.7139344262	0.9804347826	0.2595467385	0.4507363463
74	20	0.4800446802	1	0.5745901639	0.9782608696	0.2999470387	0.4678275782
75	20	0.4424170157	1	0.7524590164	0.9739130435	0.2576090972	0.4503802284
76	20	0.4534170766	1	0.6217213115	0.9847826087	0.2696935504	0.455641708
77	20	0.4642547691	1	0.6057377049	0.9782608696	0.2489128543	0.4589632396
78	20	0.4588135084	1	0.6700819672	0.9717391304	0.2674330165	0.4583008589
79	20	0.4823405879	1	0.6319672131	0.9760869565	0.2891562108	0.4691800628
80	20	0.4905643739	1	0.6721311475	0.9826086957	0.2969955907	0.4737678547
81	20	0.4037189569	1	0.6536885246	0.9891304348	0.2349582997	0.4323041203
82	20	0.4352672821	1	0.6733606557	0.9826086957	0.2663256322	0.4458893741
83	20	0.3986669651	1	0.7221311475	0.9847826087	0.2198900928	0.4330858121
84	20	0.4815445264	1	0.6590163934	0.9891304348	0.2595962932	0.4684945434
85	20	0.4613941896	1	0.7614754098	0.9826086957	0.2627661863	0.4595532441
86	20	0.46180896	1	0.6389344262	0.9739130435	0.2642483359	0.4589869736
87	20	0.4686208712	1	0.7286885246	0.9739130435	0.2850193587	0.4653418434
88	20	0.4532820817	1	0.6475409836	0.9739130435	0.2373480197	0.4541288734
89	20	0.4758163868	1	0.6114754098	0.9782608696	0.2810751604	0.4652996461
90	20	0.4740751951	1	0.7536885246	0.9869565217	0.2665032305	0.462464598
91	20	0.4929338015	1	0.6118852459	0.9891304348	0.2796406017	0.4745051799
92	20	0.4858437338	1	0.6319672131	0.9826086957	0.281734185	0.4754917489
93	20	0.432245792	1	0.6540983607	0.9847826087	0.2545470329	0.4434882829
94	20	0.4139704067	1	0.7889344262	0.9869565217	0.2443625164	0.437885602
95	20	0.4689959307	1	0.6364754098	0.9826086957	0.2908711755	0.4633673253
96	20	0.4086487588	1	0.7278688525	0.9891304348	0.237613716	0.4341080229
97	20	0.4721180039	1	0.5950819672	0.9717391304	0.2507021761	0.4643710502
98	20	0.5273625562	1	0.5569672131	0.9739130435	0.3070209588	0.4973690533
99	20	0.4299962336	1	0.7352459016	0.9891304348	0.2439212515	0.4431686961
100	20	0.3769384531	1	0.7663934426	0.997826087	0.2221585406	0.4212367823
101	20	0.4617894133	1	0.7741803279	0.9717391304	0.26863916	0.4618428275
102	20	0.454735646	1	0.6409836066	0.9782608696	0.2767800862	0.4573795529
103	20	0.4580595934	1	0.6856557377	0.9695652174	0.2664694171	0.4578075102
104	20	0.4311130092	1	0.6975409836	0.9847826087	0.2559880861	0.4452409224
105	20	0.446828827	1	0.7073770492	0.9869565217	0.2571026346	0.4501551933
106	20	0.4545864713	1	0.5704918033	0.9913043478	0.2687725299	0.4536739267
107	20	0.4504226468	1	0.6745901639	0.9739130435	0.2627043006	0.4536356182
108	20	0.4092727302	1	0.6827868852	0.9869565217	0.2370218022	0.4340641421
109	20	0.4242766085	1	0.6278688525	0.9782608696	0.2427397693	0.4429431654
110	20	0.4126673339	1	0.5913934426	0.9782608696	0.2434375296	0.4358780709
111	20	0.472015426	1	0.5905737705	0.9739130435	0.2931284283	0.467149047
112	20	0.4333248437	1	0.7639344262	0.9869565217	0.2486441404	0.4452624479
113	20	0.4426767095	1	0.6282786885	0.9891304348	0.2539139788	0.4503400575
114	20	0.4849672848	1	0.6602459016	0.9913043478	0.3059539185	0.4726875298
115	20	0.4616666031	1	0.687295082	0.9847826087	0.2789318606	0.4601551088
116	20	0.507205022	1	0.6856557377	0.9826086957	0.3063418169	0.4842042911
117	20	0.4388952169	1	0.7024590164	0.9760869565	0.2509910007	0.449292697
118	20	0.3976560113	1	0.7340163934	0.9934782609	0.2225016818	0.4276615457
119	20	0.4950136791	1	0.5918032787	0.9869565217	0.3189529435	0.4799372938
120	20	0.410168216	1	0.7643442623	0.9913043478	0.2601921597	0.4380713701
121	20	0.4880425216	1	0.7229508197	0.9804347826	0.2571908583	0.4690742728
122	20	0.4776738462	1	0.6831967213	0.9869565217	0.2893981642	0.4662266219
123	20	0.4748322425	1	0.5754098361	0.9695652174	0.2846244673	0.4660043167
124	20	0.4308627472	1	0.6795081967	0.9934782609	0.2628678595	0.4448562689
125	20	0.4389588797	1	0.6782786885	0.9891304348	0.2591664267	0.4462117954
126	20	0.338659748	1	0.843852459	0.9913043478	0.2092895918	0.4085983095
127	20	0.369225565	1	0.7545081967	0.9934782609	0.2120290846	0.4192569762
128	20	0.4991823666	1	0.6282786885	0.9717391304	0.2835171208	0.4821210305
129	20	0.5132499144	1	0.6319672131	0.9695652174	0.2912421647	0.48766808
130	20	0.4454593787	1	0.6430327869	0.9782608696	0.2700148923	0.4526229523
131	20	0.4248071175	1	0.7790983607	0.9934782609	0.2457147152	0.4412729669
132	20	0.4288084673	1	0.7352459016	0.9869565217	0.235906785	0.4407031882
133	20	0.452989499	1	0.6868852459	0.997826087	0.2437208074	0.4534777849
134	20	0.4029694918	1	0.7471311475	0.9847826087	0.2376544983	0.4331534112
135	20	0.433274537	1	0.7594262295	0.9847826087	0.2557857823	0.4463959608
136	20	0.4654011698	1	0.6430327869	0.9782608696	0.2715062721	0.4626473865
137	20	0.5008583353	1	0.6745901639	0.9717391304	0.309770739	0.4817634589
138	20	0.4460980039	1	0.6995901639	0.9760869565	0.2497082509	0.4525625767
139	20	0.5039897547	1	0.5868852459	0.9695652174	0.2808543953	0.4820638988
140	20	0.4448617759	1	0.7135245902	0.9869565217	0.2638778389	0.4507094199
141	20	0.3911495338	1	0.668442623	0.9891304348	0.2408973124	0.4277103365
142	20	0.4201049779	1	0.7586065574	0.9847826087	0.2521294612	0.4448838666
143	20	0.4285843729	1	0.6819672131	0.9913043478	0.2328285553	0.44476869
144	20	0.4940297734	1	0.6963114754	0.9804347826	0.3049595305	0.4740485257
145	20	0.3763658389	1	0.706557377	0.9934782609	0.2206953435	0.4227428784
146	20	0.4314534041	1	0.8131147541	0.9934782609	0.2609421175	0.4445484495
147	20	0.4956140166	1	0.631557377	0.9804347826	0.2911834246	0.4756723574
148	20	0.4105440216	1	0.6975409836	0.9847826087	0.2520041603	0.4346843039
149	20	0.5033648306	1	0.6602459016	0.9891304348	0.3171999231	0.4790053394
150	20	0.4066157834	1	0.7241803279	0.9804347826	0.2510505703	0.4359446417
151	20	0.4081343969	1	0.6245901639	0.9739130435	0.2366015219	0.4344655907
152	20	0.3943173997	1	0.7081967213	0.9869565217	0.2214477053	0.4291999554
153	20	0.3837923834	1	0.7549180328	0.997826087	0.2164106368	0.4265201378
154	20	0.4060630574	1	0.7331967213	0.9891304348	0.2403038153	0.4327729199
155	20	0.4380251261	1	0.7274590164	0.9913043478	0.2608030359	0.4465514783
156	20	0.4956035397	1	0.6680327869	0.9782608696	0.3154413177	0.4765695109
157	20	0.416744354	1	0.7405737705	0.9891304348	0.2398104764	0.4390307848
158	20	0.5151785059	1	0.4885245902	0.9608695652	0.3127272471	0.4881047016
159	20	0.4434281761	1	0.6262295082	0.9891304348	0.2450467955	0.4496549364
160	20	0.4800268431	1	0.6516393443	0.9913043478	0.2662315525	0.4688585794
161	20	0.46332757	1	0.7942622951	0.9891304348	0.2767913352	0.4612967078
162	20	0.4704842275	1	0.656147541	0.9695652174	0.2836532113	0.465304052
163	20	0.4869975034	1	0.6282786885	0.9934782609	0.278858141	0.4725826588
164	20	0.4720342113	1	0.6680327869	0.9913043478	0.2606209759	0.4646929843
165	20	0.5302590415	1	0.6602459016	0.9608695652	0.342137085	0.4981359355
166	20	0.5151057176	1	0.6479508197	0.9826086957	0.3193544297	0.4866687558
167	20	0.4518298094	1	0.643852459	0.9891304348	0.2620315012	0.4530630559
168	20	0.4310147921	1	0.6385245902	0.9804347826	0.2555593453	0.4453720544
169	20	0.5267801969	1	0.6114754098	0.9847826087	0.3206647161	0.4909909346
170	20	0.4609860026	1	0.5979508197	0.9717391304	0.2754551859	0.458428166
171	20	0.4848890351	1	0.5926229508	0.9804347826	0.3110190296	0.4730679204
172	20	0.510591175	1	0.668442623	0.9847826087	0.325211582	0.4864570326
173	20	0.4901017503	1	0.593442623	0.9586956522	0.2718781782	0.4746431902
174	20	0.4546842101	1	0.5040983607	0.9717391304	0.2654790865	0.4569930256
175	20	0.4199694789	1	0.7786885246	0.9826086957	0.2508072038	0.4406355458
176	20	0.4648067758	1	0.7090163934	0.9673913043	0.2834657672	0.4612404261
177	20	0.4468247524	1	0.6258196721	0.9913043478	0.2499097669	0.4521839846
178	20	0.394482439	1	0.6823770492	0.997826087	0.2021503632	0.4271338635
179	20	0.4735022325	1	0.7057377049	0.9913043478	0.27136099	0.4656568374
180	20	0.4684358128	1	0.6463114754	0.9673913043	0.2723607133	0.4642693752
181	20	0.4677089093	1	0.6860655738	0.9826086957	0.2654495322	0.4605034773
182	20	0.4205692372	1	0.6852459016	0.997826087	0.2475927447	0.4376810847
183	20	0.3792923532	1	0.6737704918	0.9891304348	0.2224343802	0.4218256072
184	20	0.4509738402	1	0.6327868852	0.9847826087	0.2692811994	0.4550877393
185	20	0.4154328154	1	0.7545081967	0.9891304348	0.2135913226	0.4359722118
186	20	0.4832588455	1	0.7352459016	0.9782608696	0.3013310974	0.4724827272
